"ID","SRV_ID","ORD_ID","DRV_ID","AUTO_ID","OPR_REG_ID","OPR_UPD_ID","RGN_ID","DVC_ID","BGN_RLY","END_RLY","TME_UPD","ABS_SEC","NM_ORD","NM_LGT","CALL","NOM","AUTO_CLR","AUTO_MDL","DST","FL_ONLINE","QUEUE","ST","MRK","ENB"
36778,243,474675,13455,21483,0,1743,4,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",29,0,805,"н9**су11","темно-синий","Дэу Нексия","сов 50","2",9,20,0,1,0
37356,245,474727,12632,20682,0,1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,0,0,"Центр","2","513301","20","0",1,0,0,0,0
37370,246,0,13208,21245,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,0,0,"2","513145","10","0","1",0,0,0,0,0
37357,246,474660,13147,21185,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,25,0,"белый","Шкода-Октавия","Юго-восток","2","513240",9,0,1,0,0
37358,245,474742,13803,26723,0,1,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,0,0,"Центр","2","513322","20","0",1,0,0,0,0
37045,256,0,13366,21396,0,1700,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",11,0,2018,"н3**нх11","серебристый","Шевроле Ланос","Север","2",9,10,0,1,0
37359,246,0,13172,21209,0,3,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,52,0,"песочный","Дэу Нексия","Юго-запад","2","513174",9,0,1,0,0
37360,249,0,13437,21465,0,1763,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2,0,5132,"н3**ув11","серебристый","Лада Приора","Юго-запад","2",9,10,0,1,0
37371,249,474722,12975,21013,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,709,0,"черный","Лада Калина","Север","2","513317",9,0,1,0,0
37078,256,474729,12655,20705,0,1706,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",12,0,15,"о0**ех11","темно-зеленый","ВАЗ 2115","Юго-запад","2",9,20,0,1,0
37048,249,474678,12968,21006,0,1767,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",7,0,702,"х9**ае11","зелено-серый","Шевроле Ланос","Север","2",9,20,0,1,0
37049,249,0,13961,26881,0,1763,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",11,0,12,"н2**ув11","фиолетовый","ВАЗ 2110","Север","2",9,40,0,1,0
37050,249,0,12896,20937,0,1767,3,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",12,0,38,"о1**км11","зеленый","Опель-Вектра","Юго-запад","2",9,10,0,1,0
37364,249,0,14204,25436,0,4,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,5145,0,"серый","Тайота","Юго-восток","2","513092",9,0,1,0,0
37051,256,0,12661,20711,0,1700,2,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",12,0,22,"н8**ее11","зеленый","Шевроле","Север","2",9,10,0,1,0
37365,256,0,13827,26747,0,1700,4,0,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",1,0,7032,"о8**вк11","сине-зеленый","ВАЗ 2107","Юго-восток","2",9,10,3,1,0
37052,246,474692,13178,21215,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,58,0,"темно-синий","Киа - Спектра","Север","2","513273",9,0,1,0,0
37366,249,0,12992,26605,0,2,0,13,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,736,0,"темно-синий","Рено- Универсал","Север","2","513020",9,0,1,0,0
